status,source_file,dn_no,mapped_stockist_no,detail
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72639_HL0114_03_OCT_2022.pdf,SS72639,HL0114,already correct
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72640_HL0115_03_OCT_2022.pdf,SS72640,HL0115,already correct
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72641_HL0116_03_OCT_2022.pdf,SS72641,HL0116,already correct
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72642_HL0117_03_OCT_2022.pdf,SS72642,HL0117,already correct
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72705_IH0180_24_OCT_2022.pdf,SS72705,IH0180,already correct
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72706_IH0181_24_OCT_2022.pdf,SS72706,IH0181,already correct
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72707_IH0182_24_OCT_2022.pdf,SS72707,IH0182,already correct
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72708_IH0183_24_OCT_2022.pdf,SS72708,IH0183,already correct
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72709_IH0184_24_OCT_2022.pdf,SS72709,IH0184,already correct
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72757_LC0049_09_NOV_2022.pdf,SS72757,LC0049,already correct
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72758_LC0050_09_NOV_2022.pdf,SS72758,LC0050,already correct
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72759_LC0051_09_NOV_2022.pdf,SS72759,LC0051,already correct
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72760_LC0052_09_NOV_2022.pdf,SS72760,LC0052,already correct
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72761_LC0053_09_NOV_2022.pdf,SS72761,LC0053,already correct
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72762_LC0054_09_NOV_2022.pdf,SS72762,LC0054,already correct
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72763_LC0055_09_NOV_2022.pdf,SS72763,LC0055,already correct
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72764_LC0056_09_NOV_2022.pdf,SS72764,LC0056,already correct
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72765_LC0057_09_NOV_2022.pdf,SS72765,LC0057,already correct
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72766_LC0058_09_NOV_2022.pdf,SS72766,LC0058,already correct
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72767_LC0059_09_NOV_2022.pdf,SS72767,LC0059,already correct
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72768_LC0060_09_NOV_2022.pdf,SS72768,LC0060,already correct
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72769_LC0061_09_NOV_2022.pdf,SS72769,LC0061,already correct
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72770_LC0062_09_NOV_2022.pdf,SS72770,LC0062,already correct
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72771_LC0063_09_NOV_2022.pdf,SS72771,LC0063,already correct
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72772_LC0064_09_NOV_2022.pdf,SS72772,LC0064,already correct
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72773_LC0065_09_NOV_2022.pdf,SS72773,LC0065,already correct
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72774_LC0066_09_NOV_2022.pdf,SS72774,LC0066,already correct
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72775_LC0067_09_NOV_2022.pdf,SS72775,LC0067,already correct
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72776_LC0068_09_NOV_2022.pdf,SS72776,LC0068,already correct
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72777_LC0069_09_NOV_2022.pdf,SS72777,LC0069,already correct
