status,source_file,token_raw,stockist_no,dd_no,ocr_date,target_name,detail
SKIP_NO_DN,D:\Stockist&Test Report\Stockist Cert\Stockist cert & mill cert of C0237.pdf,C0237,C0237,,,,no reverse mapping
SKIP_NO_DN,D:\Stockist&Test Report\Stockist Cert\Stockist cert & mill cert of C0238.pdf,C0238,C0238,,,,no reverse mapping
SKIP_NO_DN,D:\Stockist&Test Report\Stockist Cert\Stockist cert & mill cert of C0239.pdf,C0239,C0239,,,,no reverse mapping
SKIP_NO_DN,D:\Stockist&Test Report\Stockist Cert\Stockist cert & mill cert of C0240.pdf,C0240,C0240,,,,no reverse mapping
SKIP_NO_DN,D:\Stockist&Test Report\Stockist Cert\Stockist cert & mill cert of C0241.pdf,C0241,C0241,,,,no reverse mapping
SKIP_NO_DN,D:\Stockist&Test Report\Stockist Cert\Stockist cert & mill cert of C0242.pdf,C0242,C0242,,,,no reverse mapping
SKIP_NO_DN,D:\Stockist&Test Report\Stockist Cert\Stockist cert & mill cert of C0243.pdf,C0243,C0243,,,,no reverse mapping
SKIP_NO_DN,D:\Stockist&Test Report\Stockist Cert\Stockist cert & mill cert of C0244.pdf,C0244,C0244,,,,no reverse mapping
SKIP_NO_DN,D:\Stockist&Test Report\Stockist Cert\Stockist cert & mill cert of C0245.pdf,C0245,C0245,,,,no reverse mapping
SKIP_NO_DN,D:\Stockist&Test Report\Stockist Cert\Stockist cert & mill cert of C0246.pdf,C0246,C0246,,,,no reverse mapping
SKIP_NO_DN,D:\Stockist&Test Report\Stockist Cert\Stockist cert & mill cert of C0247.pdf,C0247,C0247,,,,no reverse mapping
SKIP_NO_DN,D:\Stockist&Test Report\Stockist Cert\Stockist cert & mill cert of C0248.pdf,C0248,C0248,,,,no reverse mapping
SKIP_NO_DN,D:\Stockist&Test Report\Stockist Cert\Stockist cert & mill cert of C0249.pdf,C0249,C0249,,,,no reverse mapping
SKIP_NO_DN,D:\Stockist&Test Report\Stockist Cert\Stockist cert & mill cert of C0250.pdf,C0250,C0250,,,,no reverse mapping
SKIP_NO_DN,D:\Stockist&Test Report\Stockist Cert\Stockist cert & mill cert of C0251.pdf,C0251,C0251,,,,no reverse mapping
SKIP_NO_DN,D:\Stockist&Test Report\Stockist Cert\Stockist cert & mill cert of C0252.pdf,C0252,C0252,,,,no reverse mapping
SKIP_NO_DN,D:\Stockist&Test Report\Stockist Cert\Stockist cert & mill cert of C0253.pdf,C0253,C0253,,,,no reverse mapping
SKIP_NO_DN,D:\Stockist&Test Report\Stockist Cert\Stockist cert & mill cert of C0254.pdf,C0254,C0254,,,,no reverse mapping
SKIP_NO_DN,D:\Stockist&Test Report\Stockist Cert\Stockist cert & mill cert of C0255.pdf,C0255,C0255,,,,no reverse mapping
SKIP_NO_DN,D:\Stockist&Test Report\Stockist Cert\Stockist cert & mill cert of C0257.pdf,C0257,C0257,,,,no reverse mapping
SKIP_NO_DN,D:\Stockist&Test Report\Stockist Cert\Stockist cert & mill cert of C0258.pdf,C0258,C0258,,,,no reverse mapping
SKIP_NO_DN,D:\Stockist&Test Report\Stockist Cert\Stockist cert & mill cert of C0259.pdf,C0259,C0259,,,,no reverse mapping
SKIP_NO_DN,D:\Stockist&Test Report\Stockist Cert\Stockist cert & mill cert of C0260.pdf,C0260,C0260,,,,no reverse mapping
SKIP_NO_DN,D:\Stockist&Test Report\Stockist Cert\Stockist cert & mill cert of C0261.pdf,C0261,C0261,,,,no reverse mapping
